csv,dtime,Actual Conductivity (µS/cm),Specific Conductivity (µS/cm),Salinity (ppt),Total Dissolved Solids (ppt),Resistivity (Ω⋅cm),Density (g/cm³),Chlorophyll-a Fluorescence (RFU),Chlorophyll-a Concentration (µg/L),RDO Concentration (mg/L),RDO Saturation (%Sat),oxygen_torr,temp_c,Barometric Pressure (mm Hg),Pressure (psi),depth_ft,External Voltage (V),Battery Capacity (%),Barometric Pressure (mbar),Temperature (°C)_1,lat_dd,lon_dd,Marked,bdepth_ft
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:35Z,47682.09,53574.92,35.70178,34.8237,20.97224,1.025522,0.02218892,0.2218892,7.574839,100.6721,157.964,19.24124,765.8469,23.57712,54.90506,16.543,72,1020.172,22.44866,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:37Z,47714.59,53662.87,35.76771,34.88086,20.93701,1.02555,0.02124826,0.2051422,7.578313,100.7219,158.0512,19.23362,765.9255,25.23519,58.79296,16.543,72,1020.187,22.44973,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:39Z,47798.86,53690.27,35.78926,34.89867,20.91825,1.02556,0.03278677,0.3269008,7.578215,100.7584,158.1133,19.24225,765.963,26.64371,62.04552,16.51251,72,1020.206,22.48387,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:41Z,47811.34,53697.09,35.79451,34.90311,20.91446,1.025562,0.03434679,0.3430879,7.578403,100.766,158.1258,19.24309,765.9701,26.87564,62.58343,16.50829,72,1020.209,22.48857,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:43Z,47917.02,53785.3,35.86194,34.96045,20.86952,1.025608,0.02454005,0.2454354,7.566374,100.6868,158.0025,19.28626,766.0274,28.08152,67.18879,16.50685,72,1020.21,22.49016,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:45Z,47987.52,53820.32,35.89039,34.98321,20.8126,1.025634,0.02459454,0.2459453,7.564593,100.8148,158.1983,19.32551,766.0231,29.09738,67.97103,16.46847,72,1020.244,22.50712,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:47Z,48058.07,53825.22,35.89728,34.98639,20.80901,1.025612,0.02206275,0.2206275,7.556677,100.7637,158.0989,19.35913,766.0685,29.80708,69.40075,16.50262,72,1020.179,22.51776,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:49Z,48132.07,53910.66,35.9616,35.04193,20.77547,1.025659,0.02208518,0.2208518,7.566391,100.923,158.3698,19.38644,766.0926,30.82596,71.71815,16.4976,72,1020.198,22.53651,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:51Z,48144.5,53922.45,35.97057,35.04959,20.77129,1.025664,0.02198672,0.2198673,7.56746,100.9418,158.4016,19.39119,766.0978,30.98601,72.09208,16.49874,72,1020.198,22.53939,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:53Z,48176.35,53931.07,35.97841,35.05519,20.75705,1.025664,0.02025399,0.2025399,7.557874,100.8603,158.274,19.41369,766.0699,31.49499,73.24705,16.50645,72,1020.153,22.54951,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:55Z,48172.5,53917.68,35.96883,35.04649,20.75873,1.025655,0.02335551,0.2335551,7.548639,100.7494,158.0926,19.42125,766.1636,33.79635,78.56305,16.44974,72,1020.186,22.55901,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:57Z,48186.21,53935.91,35.98235,35.05834,20.75282,1.025665,0.02407184,0.2407184,7.552735,100.809,158.2163,19.41872,766.2313,34.73042,80.72775,16.49346,72,1020.189,22.56872,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:23:59Z,48200.21,53939.24,35.97298,35.04945,20.75134,1.025655,0.02492402,0.2492401,7.548151,100.7491,158.124,19.42942,766.4088,36.32575,84.40863,16.5044,72,1020.172,22.59588,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:01Z,48188.82,53925.88,35.97383,35.05037,20.7523,1.025656,0.02285166,0.2285166,7.547668,100.7126,158.1033,19.43488,766.5305,37.83229,87.87267,16.50668,72,1020.136,22.59892,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:03Z,48187.73,53924.03,35.97344,35.05001,20.75242,1.025656,0.02259375,0.2259375,7.54737,100.7044,158.0955,19.43612,766.5546,38.10279,88.49506,16.50713,72,1020.131,22.60045,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:05Z,48221.93,53962.82,36.00326,35.07591,20.73742,1.025679,0.02253369,0.2253369,7.535028,100.5402,157.8635,19.43036,766.5636,39.32018,91.29791,16.45549,72,1020.187,22.61908,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:07Z,48229.33,53969.47,36.00824,35.08015,20.73427,1.025682,0.021530090000000002,0.2153009,7.536147,100.5593,157.8956,19.43148,766.4316,39.40211,91.49002,16.52782,72,1020.18,22.63843,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:09Z,48211.36,53944.75,35.98993,35.06409,20.742,1.025667,0.02229169,0.2229169,7.535605,100.5233,157.8452,19.43546,766.5851,41.61755,96.61299,16.541,72,1020.171,22.63972,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:11Z,48223.17,53956.64,35.99891,35.07696,20.73436,1.025679,0.02411477,0.2411477,7.539131,100.585,157.9621,19.43662,766.688,42.28842,98.14852,16.51133,72,1020.179,22.64874,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:13Z,48212.25,53939.91,35.9866,35.06158,20.74129,1.025664,0.01999279,0.1999279,7.531645,100.4871,157.8041,19.43573,766.6378,42.50159,98.5623,16.53905,72,1020.154,22.67532,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:15Z,48211.37,53938.27,35.9854,35.06012,20.74187,1.025663,0.01949606,0.1949607,7.530765,100.4764,157.7876,19.43563,766.6342,42.54358,98.6478,16.54152,72,1020.151,22.67935,26.896585053763424,-82.80849139784945,NA,98.77374
VuSitu_2020-02-04_16-22-59_Device Location_LiveReadings.csv,2020-02-04T16:24:17Z,48224.81,53933.64,35.98291,35.05682,20.73624,1.025656,0.02320496,0.2320496,7.526229,100.4517,157.7354,19.45787,766.6731,42.77544,98.77374,16.5088,72,1020.178,22.68986,26.896585053763424,-82.80849139784945,NA,98.77374
