"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2020-01-24 15:40:52"
"Time Offset = -05:00:00"
"Duration = 00:02:32"
"Readings = 77"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600 Vented"
"Device SN = 676038"
""
"Instrument Properties"
"Device Model = In-Situ Bluetooth Device"
"Device SN = 674484"
""
""
"Date Time","Actual Conductivity (µS/cm) (673392)","Specific Conductivity (µS/cm) (673392)","Salinity (PSU) (673392)","Total Dissolved Solids (ppt) (673392)","Resistivity (Ω⋅cm) (673392)","Density (g/cm³) (673392)","Chlorophyll-a Fluorescence (RFU) (671693)","Chlorophyll-a Concentration (µg/L) (671693)","RDO Concentration (mg/L) (672340)","RDO Saturation (%Sat) (672340)","Oxygen Partial Pressure (Torr) (672340)","Temperature (°C) (676038)","Barometric Pressure (mm Hg) (676038)","Pressure (psi) (671053)","Depth (ft) (671053)","External Voltage (V) (676038)","Battery Capacity (%) (676038)","Barometric Pressure (mbar) (674484)","Temperature (°C) (674484)","Latitude (°)","Longitude (°)","Marked"
"2020-01-24 15:42:02","47581.65","53153.64","35.40204","34.55534","21.01299","1.025203","0.007677419","0.07677419","7.282033","97.33236","152.2434","19.51162","763.7754","17.81142","41.72108","0.009","71","1019.29","23.48861","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:04","47584","53152.77","35.40156","34.54996","21.01504","1.025198","0.005713604","0.05713604","7.284158","97.35695","152.285","19.51178","763.8575","18.38379","43.03083","0.001210891","71","1019.273","23.48974","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:06","47588.51","53163.93","35.4096","34.55679","21.01333","1.025205","0.004062091","0.04062091","7.286488","97.37295","152.3244","19.50892","763.7831","18.62102","43.57042","0.007991471","71","1019.245","23.47299","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:08","47589.24","53165.46","35.41071","34.55747","21.0132","1.025206","0.003732545","0.03732545","7.286933","97.37684","152.3327","19.50854","763.7762","18.67384","43.69131","0.00862262","71","1019.24","23.47059","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:10","47568.61","53142.01","35.39319","34.5423","21.02227","1.025192","0.005834701","0.05834701","7.286988","97.37992","152.3191","19.50906","763.8638","19.87785","46.47372","0.009061238","71","1019.325","23.4888","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:12","47575.74","53156.91","35.404","34.55199","21.01912","1.025202","0.007094189","0.0709419","7.284644","97.33282","152.2927","19.50292","763.8765","20.50599","47.92538","0.009","71","1019.264","23.48996","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:14","47578.84","53152.61","35.4006","34.5492","21.02233","1.0252","0.007417327","0.07417328","7.283805","97.30544","152.2386","19.50319","763.8707","21.00813","49.08599","0.009","71","1019.304","23.49853","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:16","47564.41","53149.37","35.39804","34.54709","21.02475","1.025199","0.004697625","0.04697626","7.284409","97.31374","152.24","19.4975","763.9515","21.89815","51.13981","0.009","71","1019.291","23.49953","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:18","47562.6","53148.73","35.39753","34.54667","21.0252","1.025199","0.004348284","0.04348284","7.284469","97.31409","152.2384","19.49679","763.9619","22.0293","51.4425","0.009","71","1019.291","23.49996","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:20","47568.17","53158.14","35.40444","34.55279","21.02249","1.025205","0.006619262","0.0661926","7.288339","97.35409","152.3192","19.49433","764.0018","22.79583","53.20655","0.009","71","1019.299","23.49066","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:22","47555.88","53147.79","35.39654","34.54607","21.02789","1.0252","0.007099296","0.07099297","7.281621","97.24952","152.2865","19.49139","764.0733","24.0417","56.08303","0.009","71","1019.309","23.49009","26.6313683333333","-82.5567133333333",""
"2020-01-24 15:42:24","47674.49","53245.39","35.47123","34.6095","20.96755","1.025249","0.007873656","0.07873656","7.275263","97.27493","152.2278","19.52215","764.1121","25.04397","58.39217","0.01705604","71","1019.31","23.49","26.6314616666667","-82.5566933333333",""
"2020-01-24 15:42:26","47703.01","53259.98","35.47486","34.61167","20.96433","1.025246","0.007857293","0.09388892","7.266774","97.16795","152.0638","19.53735","764.1625","26.06575","60.75055","0.009853433","71","1019.318","23.49881","26.63147","-82.5566883333333",""
"2020-01-24 15:42:28","47720.7","53267.66","35.48825","34.62301","20.95525","1.025254","0.009065112","0.0926788","7.269562","97.22271","152.1443","19.54436","764.2445","26.68069","62.16755","0.009298394","71","1019.277","23.49967","26.63147","-82.5566883333333",""
"2020-01-24 15:42:30","47723.48","53268.61","35.48966","34.62416","20.95434","1.025255","0.00922347","0.09314072","7.269609","97.22517","152.1483","19.54577","764.2576","26.80299","62.44954","0.00883318","71","1019.272","23.50019","26.63147","-82.5566883333333",""
"2020-01-24 15:42:32","47726.71","53270.39","35.49162","34.62581","20.95261","1.025257","0.005716466","0.05704183","7.261599","97.11098","151.9865","19.55129","764.2748","27.28881","63.57334","0.009","71","1019.327","23.5","26.63147","-82.5566883333333",""
"2020-01-24 15:42:34","47718.08","53257.45","35.48206","34.61734","20.95642","1.025249","0.007065532","0.07065532","7.259102","97.07495","151.9332","19.5544","764.4293","29.02784","67.57926","0.009","71","1019.349","23.50936","26.63147","-82.5566883333333",""
"2020-01-24 15:42:36","47730.82","53266.77","35.48926","34.6234","20.95082","1.025247","0.006751643","0.06751643","7.25844","97.08158","151.938","19.55871","764.2711","27.53083","64.12881","0.009","71","1019.314","23.501","26.63147","-82.5566883333333",""
"2020-01-24 15:42:38","47726.27","53268.1","35.49045","34.62427","20.94878","1.025252","0.007208291","0.07208293","7.259356","97.11684","151.9661","19.56203","764.075","26.42702","61.57958","0.009","71","1019.311","23.4916","26.63147","-82.5566883333333",""
"2020-01-24 15:42:40","47717.48","53248.26","35.47565","34.61137","20.95617","1.025241","0.008023825","0.08023824","7.260002","97.12723","151.9688","19.56256","763.9857","25.28245","58.9417","0.009","71","1019.301","23.4989","26.63147","-82.5566883333333",""
"2020-01-24 15:42:42","47715.96","53245.49","35.47359","34.60957","20.95716","1.02524","0.008158419","0.08158419","7.260136","97.13008","151.9703","19.56274","763.9665","25.0906","58.49932","0.009","71","1019.3","23.49959","26.63147","-82.5566883333333",""
"2020-01-24 15:42:44","47701.09","53233.75","35.46455","34.60194","20.96391","1.025234","0.007893465","0.07893466","7.259868","97.12189","151.9441","19.55845","763.9453","24.04405","56.08436","0.009","71","1019.262","23.50956","26.63147","-82.5566883333333",""
"2020-01-24 15:42:46","47710.75","53245.24","35.47311","34.60941","20.95963","1.025241","0.005789034","0.05789034","7.255958","97.07657","151.8685","19.55794","763.8278","22.33948","52.15383","0.0007426271","71","1019.269","23.50078","26.63147","-82.5566883333333",""
"2020-01-24 15:42:48","47608.99","53153.8","35.40364","34.54997","21.00445","1.025197","0.007656413","0.07656413","7.257832","96.99897","151.7196","19.53841","763.751","21.1988","49.51942","0.0001346692","71","1019.279","23.50015","26.63147","-82.5566883333333",""
"2020-01-24 15:42:50","47570.89","53144.05","35.39368","34.54273","21.02204","1.025193","0.005143533","0.03837001","7.261916","97.04131","151.7877","19.50948","763.7236","20.1584","47.12292","0.007999867","71","1019.253","23.49111","26.63147","-82.5566883333333",""
"2020-01-24 15:42:52","47561.01","53138.48","35.38911","34.53899","21.0265","1.025191","0.004899792","0.03416015","7.262578","97.04375","151.7905","19.50466","763.717","19.97456","46.69916","0.009085135","71","1019.25","23.4899","26.63147","-82.5566883333333",""
"2020-01-24 15:42:54","47563.64","53141.59","35.39258","34.54199","21.0245","1.025193","0.006223365","0.06159256","7.267507","97.11983","151.9016","19.50452","763.6531","18.80143","43.99389","0.009204675","71","1019.318","23.49956","26.63147","-82.5566883333333",""
"2020-01-24 15:42:56","47585.53","53163.61","35.40921","34.55635","21.01479","1.025205","0.005756783","0.05756281","7.26851","97.15345","151.9412","19.50666","763.6118","16.93765","39.69183","0.009","71","1019.32","23.49101","26.63147","-82.5566883333333",""
"2020-01-24 15:42:58","47592.14","53164.21","35.40999","34.55674","21.00765","1.025205","0.006579747","0.06579748","7.272682","97.24538","152.0625","19.51264","763.5552","15.77916","37.00441","0.009","71","1019.284","23.50797","26.6315616666667","-82.5566766666667",""
"2020-01-24 15:43:00","47602.67","53163.51","35.40994","34.55628","21.00788","1.025202","0.005371","0.05371001","7.278559","97.33888","152.1912","19.51889","763.4443","14.5292","34.11953","0.009","71","1019.298","23.50939","26.6315616666667","-82.5566766666667",""
"2020-01-24 15:43:02","47604.82","53161.19","35.40857","34.55477","21.00625","1.025199","0.005742274","0.05742276","7.274881","97.30514","152.1284","19.52187","763.3673","13.51845","31.79915","0.009","71","1019.325","23.50146","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:04","47605.49","53160.82","35.40836","34.55453","21.0061","1.025199","0.005735709","0.05735711","7.274583","97.30358","152.1241","19.52249","763.3525","13.33698","31.38214","0.009","71","1019.329","23.50028","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:06","47614.57","53162.83","35.41026","34.55584","21.00196","1.025198","0.004727888","0.04727888","7.277447","97.36543","152.2046","19.53564","763.273","12.28019","28.9343","0.009","71","1019.301","23.50944","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:08","47620.02","53159.04","35.40791","34.55338","20.99957","1.025194","0.004097654","0.04097655","7.275289","97.36118","152.1799","19.54463","763.2767","10.2435","24.2383","0.009","71","1019.318","23.50998","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:10","47628.44","53168.63","35.41507","34.55961","20.99225","1.025196","0.003326267","0.03326268","7.278464","97.43011","152.2775","19.54448","763.2366","9.060798","21.51358","0.009","71","1019.31","23.50102","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:12","47637.32","53167.11","35.40984","34.55421","20.99079","1.025191","0.003644569","0.03644569","7.286948","97.56781","152.4737","19.55456","763.0803","7.84558","18.7063","0.009","71","1019.31","23.50023","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:14","47686.26","53183.88","35.42831","34.56897","20.97018","1.025198","0.00542532","0.0542532","7.285736","97.61936","152.5324","19.56303","762.9745","6.92325","16.57964","0.009","71","1019.327","23.5","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:16","47693.29","53186.04","35.43054","34.5707","20.96736","1.025199","0.005689282","0.05689283","7.285931","97.63213","152.5486","19.56464","762.9532","6.751346","16.18302","0.009","71","1019.329","23.5","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:18","47722.45","53177.06","35.42612","34.56512","20.9545","1.025186","0.004448421","0.04448422","7.289255","97.75247","152.7084","19.62765","762.9609","5.699148","13.73608","0.009","71","1019.311","23.5","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:20","47726.46","53156.29","35.41177","34.55159","20.95274","1.025169","0.003083359","0.03083359","7.286117","97.74206","152.6877","19.65174","762.8292","3.251072","8.109426","0.009","71","1019.291","23.50932","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:22","47756.75","53161.61","35.41713","34.55505","20.93945","1.025156","0.00446469","0.04464691","7.291946","97.96056","152.9829","19.67704","762.7944","2.145929","5.574239","0.009","71","1019.335","23.50988","26.6315716666667","-82.5566733333333",""
"2020-01-24 15:43:24","47796.52","53158.98","35.47455","34.59877","20.85512","1.025175","0.003832678","0.06059403","7.302104","98.325","153.4942","19.71853","762.5056","1.258484","3.530752","0.009","71","1019.312","23.51","26.6315716666667","-82.5566733333333",""
